"","vars","sp"
"1","Distance.to.Clutter..m.,Water.Nearby,Nightly.Max.Temp,Nightly.Max.RH","LACI"
"2","Percent.Clutter,WaterDist,Nightly.Mean.Windsp","LANO"
"3","Percent.Clutter,WaterDist,Nightly.Precipitation","MYCA"
"4","Distance.to.Clutter..m.,Nightly.Max.Temp,Nightly.Min.RH,jNight","MYEV"
"5","Percent.Clutter,WaterDist,Nightly.Max.Temp,Nightly.Mean.Windsp","MYLU"
"6","Nightly.Precipitation,Nightly.Mean.Windsp","MYVO"
"7","Percent.Clutter,WaterDist,Nightly.Max.RH","MYYU"
