"SpeciesGroup","Estimate","SE","z value","p.value","intercept.Estimate","intercept.Std. Error","intercept.z value","intercept.Pr(>|z|)","n"
"LACI",-0.41042241,0.18524193,-2.215602,2.671876e-02, 1.797700e+01, 8.015719e+00, 2.242718e+00, 2.491498e-02,201
"LANO", 0.47864636,0.08863020, 5.400488,6.645977e-08, 1.656593e+00, 2.328257e+00, 7.115162e-01, 4.767644e-01,201
"MYCA", 0.13958014,0.06644242, 2.100768,3.566131e-02,-2.362613e+00, 7.118162e-01,-3.319133e+00, 9.029729e-04,201
"MYEV", 0.06187132,0.06642259, 0.931480,3.516053e-01, 9.153503e-01, 2.627098e+00, 3.484264e-01, 7.275200e-01,201
"MYLU", 0.08086285,0.06909058, 1.170389,2.418445e-01, 3.452620e+00, 8.746655e-01, 3.947361e+00, 7.901736e-05,201
"MYVO", 0.15441536,0.08076717, 1.911858,5.589440e-02, 3.225215e+00, 3.212867e+00, 1.003843e+00, 3.154542e-01, 71
"MYYU", 1.00592881,0.27024036, 3.722349,1.973783e-04,-6.521193e+01, 2.068064e+01,-3.153284e+00, 1.614447e-03,201
