"SpeciesGroup","Estimate","SE","p.value"
"LACI",1.07062600615359,1.2112636713608,"p = 0.377"
"LANO",0.395955571873194,0.102982193843544,"p < .001"
"MYCA",0.00986693175038686,0.152428763759625,"p = 0.948"
"MYEV",-0.0706231165729267,0.104897472573674,"p = 0.501"
"MYLU",0.00483909248395925,0.0612805693469139,"p = 0.937"
"MYVO",0.0961709988953429,0.0712436078431263,"p = 0.177"
