"SpeciesGroup","Estimate","SE","p.value"
"LACI",1.14826672816153,0.904936615377292,"p = 0.204"
"LANO",0.133564635161939,0.116541783982181,"p = 0.252"
"MYCA",-0.161272060273847,0.160981455403426,"p = 0.316"
"MYEV",-0.114034015176927,0.106536676288066,"p = 0.284"
"MYLU",0.00335688815781534,0.0608596539541196,"p = 0.956"
"MYVO",-0.0899206534951845,0.0761819885053991,"p = 0.238"
