"Species","Convergence","N_GRTS_cells","N_observations","RE_variance_GRTS","YearS_estimate","YearS_SE","YearS_CI_lo","YearS_CI_hi","YearS_p","SE_ratio","Dispersion_stat","Dispersion_p","Dispersion_direction","Dispersion_flag","KS_stat","KS_p","KS_flag","ZeroInflation_stat","ZeroInflation_p","ZeroInflation_flag","Overall_flag"
"LACI","Converged cleanly",9,201,1.4027,-0.4104,0.1852,-0.7735,-0.0473,0.0267,0.45,0.345,0.532,"under","OK",0.0652,0.3594,"OK",0.987,0.752,"OK","Report with Caveats"
"LANO","Converged cleanly",9,201,5.8928,0.4786,0.0886,0.3049,0.6524,0,0.19,3e-04,0.688,"under","OK",0.0598,0.468,"OK",0.926,0.688,"OK","Report with Caveats"
"MYCA","Converged cleanly",9,201,1.001,0.1396,0.0664,0.0094,0.2698,0.0357,0.48,0.0019,0.912,"under","OK",0.0733,0.2306,"OK",0.911,0.72,"OK","Report with Caveats"
"MYEV","Converged cleanly",9,201,2.115,0.0619,0.0664,-0.0683,0.1921,0.3516,1.07,0.0303,0.632,"under","OK",0.0963,0.0481,"Distributional fit marginal (KS p 0.01-0.05)",0.893,0.688,"OK","Interpret Direction Only"
"MYLU","Converged cleanly",9,201,2.56,0.0809,0.0691,-0.0546,0.2163,0.2418,0.85,0.0058,0.464,"under","OK",0.0677,0.3163,"OK",0.88,0.796,"OK","Report with Caveats"
"MYVO","Converged cleanly",3,71,0.3368,0.1544,0.0808,-0.0039,0.3127,0.0559,0.52,0.3554,0.78,"under","OK",0.1075,0.3845,"OK",1.374,0.472,"OK","Do Not Report"
"MYYU","Converged cleanly",9,201,212.838,1.0059,0.2702,0.4763,1.5356,2e-04,0.27,0,0.604,"under","OK",0.1337,0.0015,"Distributional fit poor (KS p < 0.01)",1.018,0.964,"OK","Interpret Direction Only"
